Date,Price,Open,High,Low,Vol.,Change %
12-Jan-20,3.04,2.97,3.07,2.97,1.46M,1.67%
9-Jan-20,2.99,2.95,3.07,2.95,5.97M,2.05%
8-Jan-20,2.93,2.94,2.95,2.91,1.08M,-1.68%
7-Jan-20,2.98,2.95,2.98,2.93,825.07K,2.05%
6-Jan-20,2.92,3,3,2.91,903.10K,-0.68%
5-Jan-20,2.94,2.95,2.98,2.92,545.24K,-2.00%
2-Jan-20,3,2.95,3,2.95,243.75K,1.35%
31-Dec-19,2.96,3.05,3.07,2.96,20.04M,-2.95%
30-Dec-19,3.05,2.99,3.15,2.93,3.67M,2.01%
29-Dec-19,2.99,2.96,2.99,2.94,664.96K,2.75%
26-Dec-19,2.91,2.98,2.99,2.9,628.11K,-2.68%
25-Dec-19,2.99,2.97,2.99,2.97,868.27K,1.01%
24-Dec-19,2.96,2.89,2.96,2.89,115.86K,1.02%
23-Dec-19,2.93,2.9,2.96,2.9,672.09K,-0.34%
22-Dec-19,2.94,2.84,2.94,2.84,781.45K,0.68%
19-Dec-19,2.92,2.91,2.92,2.9,5.17M,0.69%
18-Dec-19,2.9,2.96,2.96,2.9,5.25M,-2.03%
17-Dec-19,2.96,2.9,3,2.9,6.03M,3.50%
16-Dec-19,2.86,2.82,2.9,2.82,986.58K,-1.38%
15-Dec-19,2.9,2.8,2.92,2.8,4.80M,3.57%
12-Dec-19,2.8,2.77,2.8,2.77,1.80M,1.45%
11-Dec-19,2.76,2.77,2.77,2.76,2.79M,0.73%
10-Dec-19,2.74,2.8,2.8,2.74,909.68K,-2.14%
9-Dec-19,2.8,2.8,2.8,2.76,2.16M,0.00%
8-Dec-19,2.8,2.74,2.81,2.74,2.43M,2.19%
5-Dec-19,2.74,2.71,2.74,2.71,163.73K,1.11%
4-Dec-19,2.71,2.74,2.74,2.71,198.16K,0.00%
28-Nov-19,2.71,2.7,2.73,2.7,1.39M,-0.37%
27-Nov-19,2.72,2.7,2.72,2.7,2.17M,0.74%
26-Nov-19,2.7,2.7,2.71,2.69,1.32M,0.37%
25-Nov-19,2.69,2.65,2.7,2.65,1.81M,0.37%
24-Nov-19,2.68,2.66,2.68,2.66,330.75K,0.75%
21-Nov-19,2.66,2.64,2.66,2.64,2.74M,1.14%
20-Nov-19,2.63,2.63,2.65,2.63,44.05K,-0.75%
19-Nov-19,2.65,2.65,2.66,2.64,1.26M,0.00%
18-Nov-19,2.65,2.65,2.65,2.64,4.53M,0.00%
17-Nov-19,2.65,2.65,2.65,2.65,242.00K,0.00%
14-Nov-19,2.65,2.66,2.66,2.65,119.18K,0.00%
13-Nov-19,2.65,2.62,2.67,2.62,574.87K,0.00%
12-Nov-19,2.65,2.65,2.66,2.65,2.99M,0.00%
11-Nov-19,2.65,2.65,2.66,2.65,331.18K,0.00%
10-Nov-19,2.65,2.62,2.65,2.62,1.57M,1.15%
7-Nov-19,2.62,2.63,2.65,2.62,462.69K,-0.76%
6-Nov-19,2.64,2.64,2.64,2.63,662.48K,0.38%
5-Nov-19,2.63,2.65,2.65,2.61,979.96K,0.00%
4-Nov-19,2.63,2.62,2.65,2.62,113.08K,0.38%
3-Nov-19,2.62,2.67,2.67,2.61,6.04M,0.00%
31-Oct-19,2.62,2.63,2.64,2.62,3.25M,-0.38%
